iter	Passed	Remaining
713	3700	1482
714	3705	1477
715	3711	1472
716	3715	1466
717	3719	1460
718	3723	1455
719	3728	1449
720	3731	1444
721	3735	1438
722	3738	1432
723	3749	1429
724	3754	1424
725	3758	1418
726	3762	1413
727	3768	1407
728	3779	1404
729	3791	1402
730	3797	1397
731	3804	1392
732	3808	1387
733	3812	1381
734	3824	1378
735	3831	1374
736	3840	1370
737	3847	1365
738	3857	1362
739	3871	1360
740	3877	1355
741	3887	1351
742	3894	1347
743	3902	1342
744	3907	1337
745	3914	1332
746	3920	1327
747	3925	1322
748	3931	1317
749	3935	1311
750	3938	1305
751	3943	1300
752	3949	1295
753	3953	1289
754	3956	1283
755	3960	1278
756	3963	1272
757	3967	1266
758	3971	1261
759	3975	1255
760	3980	1250
761	3984	1244
762	3988	1238
763	3994	1234
764	3998	1228
765	4002	1222
766	4005	1216
767	4012	1212
768	4017	1206
769	4024	1202
770	4028	1196
771	4033	1191
772	4038	1185
773	4043	1180
774	4047	1174
775	4050	1169
776	4054	1163
777	4057	1157
778	4060	1152
779	4064	1146
780	4068	1140
781	4073	1135
782	4076	1129
783	4079	1124
784	4086	1119
785	4089	1113
786	4093	1107
787	4096	1102
788	4100	1096
789	4104	1091
790	4108	1085
791	4112	1080
792	4116	1074
793	4120	1069
794	4125	1063
795	4129	1058
796	4134	1052
797	4137	1047
798	4141	1041
799	4146	1036
800	4152	1031
801	4156	1026
802	4160	1020
803	4165	1015
804	4171	1010
805	4175	1004
806	4179	999
807	4185	994
808	4189	989
809	4195	984
810	4200	978
811	4203	973
812	4207	967
813	4211	962
814	4218	957
815	4222	952
816	4225	946
817	4230	941
818	4233	935
819	4237	930
820	4240	924
821	4245	919
822	4249	913
823	4253	908
824	4258	903
825	4262	897
826	4266	892
827	4271	887
828	4275	882
829	4279	876
830	4283	871
831	4290	866
832	4294	861
833	4298	855
834	4302	850
835	4311	845
836	4314	840
837	4319	835
838	4329	830
839	4333	825
840	4336	819
841	4343	814
842	4347	809
843	4353	804
844	4358	799
845	4362	794
846	4366	788
847	4370	783
848	4375	778
849	4379	772
850	4383	767
851	4388	762
852	4391	756
853	4395	751
854	4400	746
855	4403	740
856	4407	735
857	4410	729
858	4413	724
859	4418	719
860	4422	713
861	4425	708
862	4429	703
863	4432	697
864	4435	692
865	4438	686
866	4442	681
867	4446	676
868	4449	670
869	4453	665
870	4456	659
871	4459	654
872	4463	649
873	4467	643
874	4470	638
875	4474	633
876	4477	627
877	4480	622
878	4484	617
879	4487	611
880	4490	606
881	4494	601
882	4498	596
883	4501	590
884	4504	585
885	4507	579
886	4511	574
887	4514	569
888	4517	564
889	4521	558
890	4524	553
891	4527	548
892	4530	542
893	4534	537
894	4538	532
895	4543	527
896	4546	522
897	4549	516
898	4552	511
899	4556	506
900	4560	501
901	4565	496
902	4570	490
903	4574	485
904	4582	481
905	4590	476
906	4597	471
907	4600	466
908	4605	461
909	4610	455
910	4614	450
911	4618	445
912	4621	440
913	4625	435
914	4632	430
915	4637	425
916	4641	420
917	4649	415
918	4655	410
919	4665	405
920	4670	400
921	4676	395
922	4681	390
923	4687	385
924	4694	380
925	4699	375
926	4709	370
927	4712	365
928	4716	360
929	4722	355
930	4726	350
931	4731	345
932	4737	340
933	4743	335
934	4747	330
935	4752	324
936	4757	319
937	4761	314
938	4764	309
939	4770	304
940	4773	299
941	4777	294
942	4781	289
943	4785	283
944	4788	278
945	4792	273
946	4796	268
947	4800	263
948	4804	258
949	4808	253
950	4813	248
951	4818	242
952	4822	237
953	4826	232
954	4830	227
955	4833	222
956	4837	217
957	4841	212
958	4845	207
959	4848	202
960	4852	196
961	4856	191
962	4862	186
963	4866	181
964	4870	176
965	4874	171
966	4878	166
967	4882	161
968	4886	156
969	4890	151
970	4895	146
971	4900	141
972	4903	136
973	4908	131
974	4912	125
975	4917	120
976	4922	115
977	4926	110
978	4930	105
979	4934	100
980	4939	95
981	4942	90
982	4945	85
983	4948	80
984	4952	75
985	4955	70
986	4959	65
987	4962	60
988	4965	55
989	4969	50
990	4972	45
991	4975	40
992	4978	35
993	4983	30
994	4987	25
995	4992	20
996	4996	15
997	4999	10
998	5002	5
999	5006	0
